Car_name,Car_price,Batter_cap,Drive_range,Power(BHP),Charge_time,transmission,Boot_space(Liters),Top_speed( km/h)
MG Comet EV,7.98  lakh,17.3 kWh,230  km/full charge,41.42,7 Hours,Automatic,350,101
Tata Tiago EV,8.69 - 11.99  lakh,19.2 KWh,250 km/full charge,60.34 - 73.75,58 Min(10-80%),Automatic,240,109
Tata Tigor EV,12.49 - 13.75  lakh,26 kWh,315 km/full charge,73.75,7.5h,Automatic,316,120
MG ZS EV,23.38 - 27.40  lakh,50.3 kWh,461 km/full charge,174.33,8.5 to 9 Hours,Automatic,448,175
BYD Atto 3,33.99 - 34.49  lakh,60.48 kWh,521 km/full charge,201.15,9.5-10 Hours,Automatic,440,160
Hyundai Kona Electric,23.84 - 24.03  lakh,39.2kWh,452 km/full charge,134.1,6.16 Hours,Automatic,334,155
Mahindra XUV400 EV,15.99 - 18.99  lakh,34.5 kWh,375 s km/full charge,147.51,50min,Automatic,378,150
Tata Nexon EV Max,16.49 - 19.54  lakh,40.5 kWh,453  km/full charge,141.04,15 Hours,Automatic,350,140
Mercedes-Benz EQS,1.59 - 2.4 lakh,17.3 kWh,230  km/full charge,41.42,7 Hours,Automatic,610,210
Audi e-tron GT,1.7 cr,19.2 KWh,250 km/full charge,60.34 - 73.75,58 Min(10-80%),Automatic,240,250
BMW i4,73.90 - 77.50  lakh,26 kWh,315 km/full charge,73.75,7.5h,Automatic,316,250
BYD E6,29.15  lakh,50.3 kWh,461 km/full charge,174.33,8.5 to 9 Hours,Automatic,580,130
Porsche Taycan,1.53 - 2.3 lakh,60.48 kWh,521 km/full charge,201.15,9.5-10 Hours,Automatic,440,250
Audi RS e-tron GT,1.9 cr,39.2kWh,452 km/full charge,134.1,6.16 Hours,Automatic,405,250
Mahindra E Verito,9.13 - 9.46  lakh,34.5 kWh,375 s km/full charge,41,50min,Automatic,510,86
Strom Motors R3,4.50  lakh,40.5 kWh,453  km/full charge,141.04,15 Hours,Automatic,350,80
Tata Nexon EV Prime,14.49 - 17.19  lakh,71.7 kWh,415 km/full charge,93.87,1.5H,Automatic,580,120
Hyundai IONIQ 5,44.95  lakh,29.2 kWh,320 km/full charge,56.22,10.5 Hours,Automatic,315,185
Kia EV6,60.95 - 65.95  lakh,77.4 kWh,708  km/full charge,225.86 - 320.55,18 Min (0-80%),Automatic,540,192
BMW iX,1.2 cr,71kWh,372-425 km/full charge,321.84,7.25h(AC 0-100%),Automatic,500,200
BMW i7,1.9 cr,101.7kWh,590-625 km/full charge,536.4,15 h,Automatic,500,250
Mini Cooper SE,52.50  lakh,32.6KwH,270 km/full charge,181.03,2.5 Hours,Automatic,211,150
Audi e-tron,1.02 - 1.2 lakh,77.4 kWh,708  km/full charge,225.86 - 320.55,18 Min (0-80%),Automatic,660,200
Citroen eC3,11.50 - 12.76  lakh,71kWh,372-425 km/full charge,321.84,7.25h(AC 0-100%),Automatic,315,200
Volvo XC40 Recharge,56.90  lakh,101.7kWh,590-625 km/full charge,536.4,12 h,Automatic,419,180
Jaguar I-Pace,1.20 - 1.2 lakh,32.6KwH,270 km/full charge,181.03,2.5 Hours,Automatic,656,200
Pravaig DEFY,39.50  lakh,90.9kwh,857 km/full charge,516.29 - 750.97,30 mins,Automatic,680,210
PMV EaS E,4.79  lakh,93.4kWh,388-500 km/full charge,13.41,5:15 Hours,Automatic,30,245
Mercedes-Benz EQB,74.50  lakh,71kwh,264-379 km/full charge,225,7 Hours,Automatic,465,200
Mercedes-Benz EQC,99.50  lakh,83.9Kw,493-590 km/full charge,335.25,13 h,Automatic,500,190
